round,n_pic,n_quote,n_ref,b_pic,b_quote,b_ref
18,,"Difficile de trouver qui procède avec plus de fermeté et de rigueur, plus durement que moi ","Ainsi parlait Zarathoustra
La sangsue p323",,"Quand j'y vais, j'y vais dur, je ne blague pas ","Ma Couleur
Lunatic"
19,,"Cela se donne, - encore un enseignement de démission ! Mais moi, je vous le dis, à vous les confortables : Cela se prend. ","Ainsi Parlait Zarathoustra
De la rapetissante vertu p228",,"Prends c'que t'as à prendre, personne te le donnera ","45 Scientific
Lunatic"
20,,Reçoit commandement qui ne se peut à lui-même obéir ,"Ainsi Parlait Zarathoustra
De la domination de soi p157",,"Ce combat contre moi-même, je le perds, c'est ma chute ","Garde la pêche
Ouest Side"
21,,Qu'importe de moi !  - Voila ce qui se trouve écrit sur la porte du penseur futur,Aurore /p319,,"Mon sort j'm'en bats les reins, pourvu qu'les miens s'en sortent","Paradis
Lunatic "
22,,Froid est le flot de toute profonde connaissance ,"Ainsi Parlait Zarathoustra
Des illustres sages p143",,Mon rap est froid comme un épaulard ,"Au fond de la classe
Ouest Side"
23,,Je ne suis loi que pour les miens,"Ainsi Parlait Zarathoustra
La Cène /page 366",,Je rappe pour les miens,"Si tu kiffes pas
Mauvais Oeil"
24,,Non qu'à ces coléreux je ne tienne rigueur ; tout juste ils me font rire !,"Ainsi Parlait Zarathoustra
Le sacrifice du miel p310",,Négro quand tu m'attaques je L O L smiley face,"Marche ou Crève
0.9"
25,,Etre vrais - bien peu le peuvent !,"Ainsi Parlait Zarathoustra
D'anciennes et de nouvelles tables /page 264",,"Vrai je le resterai, je l'ai toujours été","Hors saison
Panthéon"
26,,Tu es quelqu'un qui d'obéir a désappris,"Ainsi Parlait Zarathoustra
L'heure du plus grand silence /page 201",,J'ai beaucoup d'mal à obéir aux hommes,"Numéro 10
Panthéon"
27,,De la grandeur tu vas ton chemin ; à la trace personne ici ne te doit suivre,"Ainsi Parlait Zarathoustra
Le voyageur /page 206",,"B2O c'est mon blaze, personne n'ira où je vais","Couleur Ébène
Ouest Side"
28,,"Bien haut tu t'es lancé toi-même, mais il n'est pierre lancée - qui ne retombe !","Ainsi Parlait Zarathoustra
De la vision et de l'énigme page 211",,"Toujours plus haut je grimpe, plus dur je vais tomber","Bakel City Gang 
Autopsie vol.4  "
29,,"Il est pesant de vivre avec des hommes, car il est pesant de se taire.","Ainsi Parlait Zarathoustra
L'heure du plus grand silence /page 194",,"Fier j'sais pas quand m'taire, point levé aux JO","Fast Life
Lunatic"
30,,Du plus profond il faut que le plus haut à sa propre hauteur s'élève,"Ainsi Parlait Zarathoustra
Le voyageur /page 207",,"On l'a fait tout seuls, du sous-sol au toit sans boussole","Indépendants
Temps Mort"
31,,Vous me fuyez ? Avec effroi ? Devant cette parole vous tremblez ?,"Ainsi Parlait Zarathoustra
De l'immaculée connaissance /1885",,"J'ai le verset qui bouleverse, ma diction est malédiction.","Tallac
Panthéon /2004"
32,,"il est en moi quelque chose d'invulnérable, d'inensevelissable et qui perce le roc","Ainsi Parlait Zarathoustra
Le chant des tombes /page 155",,Rien ne m'arrête à part du neuf millimètres,"Ouest Side
Ouest Side / 2006"
33,,"Mais il faut, je le veux, que d'abord toi-même te sois bâti, carré de corps et d'âme !","Ainsi Parlait Zarathoustra
D'enfant et de mariage /page 97",,"Cerveau en très bon état, 95 kilos de muscles","A3
Autopsie Vol. 3"
34,,"Dans le desert toujours vécurent les véraces, les libres esprits, en seigneurs du desert ","Ainsi Parlait Zarathoustra
Des illustres sages /page 143",,"Aigle du désert discute
Avec ces fils de putes","Saddam Hauts d'Seine
Lunatic"
35,,"Mon langage est du peuple ; trop cru je parle, et à coeur trop ouvert, pour les lapins angoras ","Ainsi parlait Zarathoustra
De l'esprit de pesanteur p254",,"Ok je suis vulgaire, les bourges en chopent des ulcères
Quand ils entendent ce qui sort d'ma bouche c'est le son dangereux du ter-ter ","Le Duc de Boulogne
Ouest Side"
36,,"Ces accusateurs de la vie, en un clin d'oeil la vie a raison d'eux. ""Tu m'aimes, dit l'effrontée, attends encore un peu. De m'occuper de toi n'ai le temps.""  ","Ainsi parlait Zarathoustra
Le convalescent /page 285",,"J'ai pris la vie dans mes bras aahhhh
Je l'ai serrée si fort je lui ai cassé le dos","Boulbi
Ouest Side"
37,,"Qui sa propre vertu s'invente, il faut que les gens de bien le crucifient ! ","Ainsi Parlait Zarathoustra
D'anciennes et de nouvelles tables /p279",,Mon rap a été crucifié à en devenir Christ ,"Paradis
Lunatic"
38,,Ici il peut voler ! Pourquoi devrait-il redescendre dans ces eaux troublées où l'on doit nager et patauger !,Le Gai Savoir p239,,"C'n'est pas qu'j'aime pas me mélanger mais disons
Simplement que les aigles ne volent pas avec les pigeons","Rats des Villes
Autopsie Vol.3"
39,,"Vers ma destination je veux aller, je vais mon chemin; par-dessus les trembleurs et par-dessus les nonchalants je sauterai ",Ainsi Parlait Zarathoustra - Prologue P9,,"Pas à pas, de pied ferme, sans savoir où j'vais
J'ai souvent cherché la merde, je l'ai toujours trouvée ","Pitbull
Ouest Side"
40,,C'est de ravisseur que pour les bergers Zarathoustra veut avoir le nom,"Ainsi Parlait Zarathoustra
Prologue p35",,"Je n'fais pas partie du troupeau
J'égorge le garde-champêtre
Prends les armes avec moi si t'es mon poto","A3
Autopsie Volume 3"
41,,"Le criminel donne souvent la preuve d'une parfaite domination de soi, de sacrifice et de sagesse ",Aurore p72,,"Criminel depuis le minitel
vole de mes propres ailes
B.A.K.E.L. City Gang","Bakel City Gang
Autopsie Vol. 4"
42,,De tout ce qui est écrit je n'aime que ce qu'on écrit avec son sang.,"Ainsi Parlait Zarathoustra
De l'écrire et du lire p 56",,Rouge sang sont mes versets,"Inédit
Temps Mort"
43,,Je ne loue le pays où beurre et miel - coulent !,"Ainsi Parlait Zarathoustra
Le voyageur /page 206",,"Moi j'ai pas une voix d'miel, j'ai pas d'e-mail, j'torpille l'industrie, j'pille","Animals
Temps Mort"
44,,Louange à ce qui rend dur ! ,"Ainsi Parlait Zarathoustra
Le voyageur /page 206",,On sort d'chez l'éducateur avec de gros hématomes,"On contrôle la zone
Autopsie Vol. 3"
45,,Je préfèrerais encore être considéré comme un satyre que comme un saint ,Ecce Home - Préface p10,,"Petit massage, en mode Belzebuth
Cela va d'soi on va baiser des putes ","Top Niveau
Lunatic"
,,,,,,
46,,Je préfèrerais encore être considéré comme un satyre que comme un saint ,Ecce Home - Préface p10,,"Mets-moi le Graal entre les mains, j'me sers un verre de sky","Ouest Side
Ouest Side"
,,,,,,
47,,"Le meilleur nous appartient, aux miens et à moi-même ; et quand on nous le refuse, alors nous le prenons : - la meilleure chère, le ciel le plus pur, les plus robustes pensées, les plus belles femmes.","Ainsi Parlait Zarathoustra
De la voie du créateur /page 90",,"Tu veux savoir c'que j'ai dans la tête ? Compte en Se-ssui, Merco Benz, Lamborghini, J-Lo, Beyonce, Jack, bédo","Caesar Palace
Lunatic"
